timestamp_ms,center_x,center_y,right_x,right_y,left_x,left_y
1753938543405,976,645,976,695,976,595
1753938543780,976,645,976,695,976,595
1753938544148,976,643,1026,643,926,643
1753938544511,978,631,1027,639,929,623
1753938544877,982,589,1031,593,933,585
1753938545246,982,543,1032,543,932,543
1753938545612,988,493,1037,498,939,488
1753938545980,992,453,1041,457,943,449
1753938546348,998,413,1047,420,949,406
1753938546713,1002,375,1051,380,953,370
1753938547078,1006,347,1055,354,957,340
1753938547444,1006,321,1056,321,956,321
1753938547809,1008,289,1057,292,959,286
1753938548176,1012,265,1061,273,963,257
1753938548540,1014,241,1063,245,965,237
1753938548906,1016,223,1065,228,967,218
1753938549268,1014,201,1063,197,965,205
1753938549638,1010,181,1059,172,961,190
1753938550001,1000,161,1044,139,956,183
1753938550371,988,147,1025,115,951,179
1753938550746,974,136,1004,97,944,175
1753938551116,962,128,989,87,935,169
1753938551486,954,123,980,81,928,165
1753938551849,948,117,983,82,913,152
1753938552212,944,112,983,81,905,143
1753938552577,940,107,979,76,901,138
1753938552942,938,103,982,81,894,125
1753938553308,936,100,977,73,895,127
1753938553670,934,94,981,79,887,109
1753938554035,928,90,955,49,901,131
