timestamp_ms,center_x,center_y,right_x,right_y,left_x,left_y
1753952059882,978,916,978,966,978,866
1753952060089,979,915,1014,950,944,880
1753952060284,980,916,945,951,1015,881
1753952060490,977,911,1019,886,935,936
1753952060695,972,898,1018,881,926,915
1753952060900,959,877,1001,851,917,903
1753952061114,944,856,984,827,904,885
1753952061310,927,833,967,804,887,862
1753952061510,910,812,948,781,872,843
1753952061705,893,791,931,760,855,822
1753952061909,876,772,913,739,839,805
1753952062119,859,751,897,720,821,782
1753952062316,844,736,879,701,809,771
1753952062513,825,717,860,682,790,752
1753952062713,808,706,835,665,781,747
1753952062911,783,691,808,649,758,733
