timestamp_ms,center_x,center_y,right_x,right_y,left_x,left_y
1753952059882,978,916,978,966,978,866
1753952060089,979,915,1014,950,944,880
1753952060284,980,916,945,951,1015,881
1753952060490,977,911,1019,886,935,936
1753952060695,972,898,1018,881,926,915
1753952060900,959,877,1001,851,917,903
1753952061114,944,856,984,827,904,885
1753952061310,927,833,967,804,887,862
1753952061510,910,812,948,781,872,843
1753952061705,893,791,931,760,855,822
1753952061909,876,772,913,739,839,805
1753952062119,859,751,897,720,821,782
1753952062316,844,736,879,701,809,771
1753952062513,825,717,860,682,790,752
1753952062713,808,706,835,665,781,747
1753952062911,783,691,808,649,758,733
1753952099871,976,914,939,946,1013,882
1753952100174,975,913,1010,878,940,948
1753952100484,976,910,1023,925,929,895
1753952100779,977,877,1026,878,928,876
1753952101072,976,848,1025,847,927,849
1753952101402,973,823,1022,818,924,828
1753952101708,966,774,1015,767,917,781
1753952102013,965,745,1014,744,916,746
1753952102339,966,714,1015,715,917,713
1753952102641,965,685,1014,684,916,686
1753952102945,966,662,1015,664,917,660
1753952103248,965,641,1014,639,916,643
1753952103557,964,616,1013,615,915,617
1753952103862,961,593,1010,587,912,599
1753952104158,960,576,1009,574,911,578
1753952104453,955,553,1003,543,907,563
1753952104754,952,534,1001,527,903,541
1753952105079,947,517,994,503,900,531
1753952105393,944,504,992,493,896,515
1753952105698,941,485,990,478,892,492
