timestamp_ms,center_x,center_y,right_x,right_y,left_x,left_y
1753944608003,1155,760,1155,810,1155,710
1753944608637,1112,757,1115,708,1109,806
1753944609263,1053,712,1083,673,1023,751
1753944609881,1048,713,1039,664,1057,762
1753944610495,1077,746,1040,779,1114,713
1753944611131,1114,719,1143,759,1085,679
1753944611749,1143,774,1099,797,1187,751
1753944612353,1112,685,1159,669,1065,701
1753944612975,1043,626,1075,588,1011,664
1753944613606,1024,583,1069,563,979,603
1753944614249,1111,532,1136,575,1086,489
1753944614843,1082,501,1118,467,1046,535
1753944615484,1003,560,974,520,1032,600
1753944616094,1018,633,970,643,1066,623
1753944616691,1045,702,999,720,1091,684
1753944617309,1078,643,1121,667,1035,619
1753944617920,1119,536,1165,553,1073,519
1753944618536,1030,601,1001,561,1059,641
1753944619186,1043,572,1088,592,998,552
1753944619862,1054,557,1094,586,1014,528
1753944620501,1111,526,1134,569,1088,483
