timestamp_ms,center_x,center_y,right_x,right_y,left_x,left_y
1753954226370,1040,920,1040,970,1040,870
1753954226666,1041,920,1041,970,1041,870
1753954226951,1042,914,1091,922,993,906
1753954227263,1039,888,1088,883,990,893
1753954227551,1040,824,1089,824,991,824
1753954227835,1043,784,1092,787,994,781
1753954228119,1046,746,1095,749,997,743
1753954228401,1051,702,1100,707,1002,697
1753954228693,1060,670,1108,683,1012,657
1753954228986,1065,640,1114,648,1016,632
1753954229286,1074,612,1121,627,1027,597
1753954229575,1079,582,1128,590,1030,574
1753954229861,1086,552,1134,563,1038,541
